,user,text,time,location,source,like_count,quote_count,reply_count,retweet_count
0,ITalkParanormal,RT @AndromedaBeauty: Broke a sweat? Take a bath. #OrganicSoap #LizTaylor #ElonPillow #mypillow #tsla  #nft #btc #objktnft #filmphotography…,2022-05-22 23:31:54+00:00,,malliard,0,0,0,0
1,AndromedaBeauty,Broke a sweat? Take a bath. #OrganicSoap #LizTaylor #ElonPillow #mypillow #tsla  #nft #btc #objktnft… https://t.co/QTW2FErhmm,2022-05-22 23:28:17+00:00,USA,Twitter Web App,3,0,2,1
2,DwellWithMe,Some shorted $twtr prior to Elon’s hint of backing out. But is it time to double down? #twtr #Elon  https://t.co/xk1F2l8D7X,2022-05-22 23:10:07+00:00,CA,Twitter for iPhone,0,0,0,0
3,MatchforR,Elon Musk called #BTC the new paradigm and price collapsed.  Tesla has the same wave structure and collapsing. If… https://t.co/bakNbOtJ20,2022-05-22 22:19:27+00:00,"New York, NY",Twitter Web App,2,0,0,0
4,radarvswolf,"RT @psychedelicraig: Such a reasonable response from a reasonable Muskovite Reply Guy 😂

Tesla stock only lost roughly 50% of it’s total ma…",2022-05-22 22:10:39+00:00,"Nashville, TN",Twitter Web App,0,0,0,0
5,radarvswolf,"RT @psychedelicraig: Elon Musk is Pathologically Full of Shit

https://t.co/gPcaJY0QHx

#ElonMusk #Elon #Musk #Elongate #SpaceX #Tesla $TSL…",2022-05-22 22:10:22+00:00,"Nashville, TN",Twitter Web App,0,0,0,0
6,30luiscervantes,RT @30luiscervantes: #discord 🙋‍♂️🤑👉 #twtr  #Ethereum #ada #Bitcoin  #Binance #Crypto #Eth #OptionsTrading #OptionsFlow #StockMarket #Stock…,2022-05-22 21:02:41+00:00,,Twitter for Android,0,0,0,0
7,30luiscervantes,#discord 🙋‍♂️🤑👉 #twtr  #Ethereum #ada #Bitcoin  #Binance #Crypto #Eth #OptionsTrading #OptionsFlow #StockMarket… https://t.co/1u3CFfytSv,2022-05-22 21:02:25+00:00,,Twitter for Android,1,0,0,1
8,topstonks,"$TWTR one of the most mentioned on wallstreetbets over the last 7 daysVia https://t.co/TyWnBqE0Co#twtr… https://t.co/c6Kl5rqG8Q",2022-05-22 20:39:11+00:00,,topstonks,0,0,0,0
9,anauburntiger,Love how everyone on #twtr lately thinks it's either the end of the world or we're in a record breaking booming eco… https://t.co/2hjCpToNgg,2022-05-22 20:38:17+00:00,NYC/PITT/Arlington VA,Twitter Web App,0,0,0,0
10,30luiscervantes,RT @30luiscervantes: Free! Alerts from my  #discord 🙋‍♂️😎🤑👉 #twtr  #Ethereum #ada #Bitcoin  #Binance #Crypto #Eth #OptionsTrading #OptionsF…,2022-05-22 19:25:19+00:00,,Twitter Web App,0,0,0,0
