,user,text,time,location,source,like_count,quote_count,reply_count,retweet_count
0,topstonks,"$TWTR was the 8th most mentioned on wallstreetbets over the last 7 daysVia https://t.co/TyWnBqE0Co#twtr… https://t.co/YlB8keCpKw",2022-05-01 23:17:26+00:00,,topstonks,0,0,0,0
1,Samxxgold,New investors trying to understand the Stock Market ! #pltr #twtr #tsla https://t.co/YeFzPnvImO,2022-05-01 23:11:23+00:00,"St Paul, MN",Twitter for iPhone,0,0,0,0
2,Ralphtan222,"(要人の声明があった様)

via @Forbes 
#news #TWTR #ElonMuskBuyTwitter https://t.co/5dJDW2Zzsy",2022-05-01 23:01:45+00:00,DeCenterized Tokyo🗼⇄NY🗽,Twitter for iPhone,0,0,1,0
3,ScottGraffius,"RT @ScottGraffius: The lifespan (half-life) 🕟 of posts on 🐦 #Twitter — and other social media platforms.

See https://t.co/ZYzRTzhGlO for d…",2022-05-01 20:44:02+00:00,California,Twitter Web App,0,0,0,0
4,Idacrypto1,Who else is going long on #TWTR #ElonMusk #Bullish #WAGMI,2022-05-01 20:09:10+00:00,,Twitter for Android,0,0,0,0
5,fred_promos,"RT @synapse_net_: $TWTR PREDICTION-🟥

Tomorrows Predicted Price : 48.5 | 2022-05-02
 
Current Price: 49.02 
$TWTR Predicted to Decrease By:…",2022-05-01 17:41:51+00:00,,Twitter for iPhone,0,0,0,0
6,DogeMoonSoon,@unusual_whales #twtr #Tesla,2022-05-01 17:05:33+00:00,"Phoenix, AZ",Twitter for Android,4,0,0,0
7,panda_mos,"Twitter Inc (#TWTR) ⬇️49,02; -0,09;(-0,18%)
https://t.co/fVSBGyoumY",2022-05-01 17:04:17+00:00,Adventureland,Twitter Web App,0,0,0,0
8,Khristian_lewis,"RT @luke_sosnowski: Market traders use the weekend and head to the #TRICKTRADES https://t.co/vgGHRshwmT

#Youtube channel, actual professio…",2022-05-01 16:37:43+00:00,,Twitter for iPhone,0,0,0,0
9,topstonks,"$TWTR seeing an uptick in chatter on wallstreetbets over the last 24 hoursVia https://t.co/TyWnBqE0Co#twtr… https://t.co/A7w3lRjlsm",2022-05-01 16:36:20+00:00,,topstonks,0,0,0,0
10,n64k,"RT @n64k: @eevblog Try a tweet with a curse word and ""@ElonMusk"" in it. Frequent warnings and even 12-hour time outs over literally nothing…",2022-05-01 16:10:43+00:00,United States,Twitter for Android,0,0,0,0
11,n64k,"@eevblog Try a tweet with a curse word and ""@ElonMusk"" in it. Frequent warnings and even 12-hour time outs over lit… https://t.co/ud6JI7PmF2",2022-05-01 16:10:38+00:00,United States,Twitter for Android,0,0,0,1
12,luke_sosnowski,"Market traders use the weekend and head to the #TRICKTRADES https://t.co/vgGHRshwmT

#Youtube channel, actual profe… https://t.co/Q7lwlJTVyJ",2022-05-01 16:10:27+00:00,,Twitter Web App,4,0,0,2
13,Muhammetkiraz16,RT @emrahvsibel: #GLCVY #tsla #aapl #nvda #twtr #msft #amzn #amd #googl #fb #wfc #sapg #lini #alvg #baygn #vowg_p #SIEGn #MBGn #DTEGn #BASF…,2022-05-01 15:56:54+00:00,,Twitter for Android,0,0,0,0
14,AndromedaBeauty,#Grinder Bananas over soap. Soap that is.  Hand Made Soap Flipper dolphin Watermelon Lemonade Goat's Milk Aloe Vera… https://t.co/UMhBI54XKj,2022-05-01 15:55:38+00:00,USA,Twitter Web App,1,0,0,0
15,Tammyblaqk,#BTC actually touched down as predicted. #crypto #twtr. https://t.co/MDABMcg5A0,2022-05-01 14:54:10+00:00,Port Harcourt,Twitter for Android,0,0,1,0
16,TioBen4AMCAPES,@TaraBull808 #AMC #GME #MULN #HYMC #TWTR are the ones I hold and also #SHIB for crypto,2022-05-01 14:31:56+00:00,"Homestead, FL",Twitter for iPhone,2,0,0,0
17,topstonks,"$TWTR was the 8th most mentioned on wallstreetbets over the last 7 daysVia https://t.co/TyWnBqE0Co#twtr… https://t.co/auXnJ2Rnkz",2022-05-01 14:25:41+00:00,,topstonks,0,0,0,0
18,AlonIdelson,Loving the fact that Elon is the CEO of this place ❤️ @elonmusk #twtr,2022-05-01 14:00:54+00:00,Judean Desert,Twitter for Android,0,0,0,0
19,shu2tokyo,"#ElonMusk could have bought the 15 richest football clubs instead of #Twitter #TWTR #TSLA #SpaceX 
https://t.co/H3EEUYDejs",2022-05-01 13:16:31+00:00,"Tokyo
",Twitter Web App,0,0,0,0
20,cryptocricket2,@punk6529 Why #twtr does not give you the blue badge? Com’on @elonmusk….,2022-05-01 13:05:54+00:00,,Twitter for iPhone,0,0,1,0
21,ZeroChristie,"RT @Prayer_crypt0: @jreentertain Thanks for giveaway ,it will make for a good day,god bless always and stay healthy! #saitama #shib #impact…",2022-05-01 12:21:11+00:00,,Twitter Web App,0,0,0,0
22,TradingSense_,"$TWTR PREDICTION-🟥

Tomorrows Predicted Price : 48.5 | 2022-05-02
 
Current Price: 49.02 
$TWTR Predicted to Decrea… https://t.co/n5kd9WkPu0",2022-05-01 11:28:23+00:00,Github,StockTRXK,3,0,0,1
23,TheGreenHolder,"@AMC_Apee @BossBlunts1 @YouTube - #China gets sanctions
- #Market is melting, Collateral - 
- #Deutsche Bank raided… https://t.co/bgq4WyRY4i",2022-05-01 10:06:56+00:00,,Twitter for Android,1,0,0,0
24,trippyhexgirl,"RT @Hexicanoverlord: Don't miss out on becoming a Hexican Overlord 🤑 Only 100 Available check out below

https://t.co/3fXy7uU5jJ 

#HEX #he…",2022-05-01 08:37:57+00:00,,Twitter for Android,0,0,0,0
25,rywilliams4379,Full Interview: Former #Renault-Nissan boss Carlos Ghosn | CNBC Internati... https://t.co/OKwda1lRei via @YouTube.… https://t.co/ceLqrjmheA,2022-05-01 06:11:12+00:00,upstate NY,Twitter for iPhone,1,0,0,0
26,topstonks,"$TWTR was the 8th most mentioned on wallstreetbets over the last 7 daysVia https://t.co/TyWnBqE0Co#twtr… https://t.co/0z74JOik9n",2022-05-01 06:04:21+00:00,,topstonks,0,0,0,0
27,daubens1,"RT @PresidentHadley: Do you trust the financial media?
 
Add #journalist you trust or don't trust most in comments

Vote &amp; RT.

#RETAILINVE…",2022-05-01 05:07:13+00:00,,Twitter Web App,0,0,0,0
28,WildeMadeline,RT @AndromedaBeauty: #dezphotochallenge #nft #btc #twtr @coachella https://t.co/2bLP1SkCG1,2022-05-01 04:32:47+00:00,,Twitter Web App,0,0,0,0
29,AndromedaBeauty,"RT @AndromedaBeauty: Hand Made Soap Edvard Munch The Scream Watermelon Lemonade Goat's Milk Aloe Vera
Introducing ""Aguas Frescas"" 
Get your…",2022-05-01 04:09:07+00:00,USA,Twitter Web App,0,0,0,0
30,AndromedaBeauty,"RT @AndromedaBeauty: Hand Made Soap Edvard Munch The Scream Watermelon Lemonade Goat's Milk Aloe Vera
Introducing ""Aguas Frescas"" 
Get your…",2022-05-01 04:09:00+00:00,USA,Twitter Web App,0,0,0,0
31,ScottGraffius,"The lifespan (half-life) 🕟 of posts on 🐦 #Twitter — and other social media platforms.

See https://t.co/ZYzRTzhGlO… https://t.co/qtvgbvoWCN",2022-05-01 02:21:48+00:00,California,Tweetbot for Mac,5,0,0,2
32,TradingSense_,"$TWTR PREDICTION-🟥

Tomorrows Predicted Price : 48.62 | 2022-05-02
 
Current Price: 49.02 
$TWTR Predicted to Decre… https://t.co/Uka6B3Zn5l",2022-05-01 02:17:50+00:00,Github,StockTRXK,1,0,0,0
33,AndromedaBeauty,"GIVE ME MY #OrganicSoap
Hand Made Soap Edvard Munch The Scream Watermelon Lemonade Goat's Milk Aloe Vera
Introducin… https://t.co/I0bl5i8dF4",2022-05-01 02:13:55+00:00,USA,Twitter Web App,2,1,0,0
34,AndromedaBeauty,YES! I said #OrganicSoap They are here! Hand Made Soap Edvard Munch The Scream Watermelon Lemonade Goat's Milk Aloe… https://t.co/nhLZY2GYs3,2022-05-01 02:02:00+00:00,USA,Twitter Web App,3,1,1,0
35,Bonnie_Kelly1,@JackPosobiec @Cernovich 😃 Thank You @ElonMusk #Good #News #Truth 🔊 FREE SPEECH IS ALIVE - - BAD NEWS FOR LIBERALS… https://t.co/8EwQha44Od,2022-05-01 01:53:46+00:00,USA,Twitter Web App,0,0,0,0
36,AndromedaBeauty,"Pass the soap... #OrganicSoap
Hand Made Soap Edvard Munch The Scream Watermelon Lemonade Goat's Milk Aloe Vera
Intr… https://t.co/OZNr5MvTUJ",2022-05-01 01:53:38+00:00,USA,Twitter Web App,1,1,1,0
37,Reneami50020561,"RT @PresidentHadley: Do you trust the financial media?
 
Add #journalist you trust or don't trust most in comments

Vote &amp; RT.

#RETAILINVE…",2022-05-01 01:49:43+00:00,"Kentucky, USA",Twitter for iPhone,0,0,0,0
38,AndromedaBeauty,"AAAAH They are here! #OrganicSoap
Hand Made Soap Edvard Munch The Scream Watermelon Lemonade Goat's Milk Aloe Vera… https://t.co/zmKrGD5Y1r",2022-05-01 01:40:42+00:00,USA,Twitter Web App,4,0,1,0
39,AndromedaBeauty,"RT @AndromedaBeauty: Hand Made Soap Edvard Munch The Scream Watermelon Lemonade Goat's Milk Aloe Vera
Introducing ""Aguas Frescas"" 
Get your…",2022-05-01 01:32:34+00:00,USA,Twitter Web App,0,0,0,0
40,AndromedaBeauty,"RT @AndromedaBeauty: Hand Made Soap Edvard Munch The Scream Watermelon Lemonade Goat's Milk Aloe Vera
Introducing ""Aguas Frescas"" 
Get your…",2022-05-01 01:32:19+00:00,USA,Twitter Web App,0,0,0,0
41,AndromedaBeauty,"RT @AndromedaBeauty: Hand Made Soap Edvard Munch The Scream Watermelon Lemonade Goat's Milk Aloe Vera
Introducing ""Aguas Frescas"" 
Get your…",2022-05-01 01:32:01+00:00,USA,Twitter Web App,0,0,0,0
42,AndromedaBeauty,RT @AndromedaBeauty: Con su pluma en su mano O R G A N I C Soap Hand Made Soap Edvard Munch The Scream Watermelon Lemonade Goat's Milk Aloe…,2022-05-01 01:31:50+00:00,USA,Twitter Web App,0,0,0,0
