,text,time,location,source,like_count,quote_count,reply_count,retweet_count,lang,split_text
0,8th mention wallstreetbet last 7 day via httpstcotywnbqe0co twtr httpstcoylb8kecpkw,2022-05-01,,topstonks,0,0,0,0,en,"['8th', 'mention', 'wallstreetbet', 'last', '7', 'day', 'via', 'httpstcotywnbqe0co', 'twtr', 'httpstcoylb8kecpkw']"
1,new investor tri understand stock market pltr tsla httpstcoyefzpnvimo,2022-05-01,"St Paul, MN",Twitter for iPhone,0,0,0,0,en,"['new', 'investor', 'tri', 'understand', 'stock', 'market', 'pltr', 'tsla', 'httpstcoyefzpnvimo']"
3,lifespan halflif post social media platform see httpstcozyzrtzhglo,2022-05-01,California,Twitter Web App,0,0,0,0,en,"['lifespan', 'halflif', 'post', 'social', 'media', 'platform', 'see', 'httpstcozyzrtzhglo']"
4,els go long,2022-05-01,,Twitter for Android,0,0,0,0,en,"['els', 'go', 'long']"
5,predict tomorrow predict price 485 20220502 current price 4902 predict decreas,2022-05-01,,Twitter for iPhone,0,0,0,0,en,"['predict', 'tomorrow', 'predict', 'price', '485', '20220502', 'current', 'price', '4902', 'predict', 'decreas']"
9,see uptick chatter wallstreetbet last 24 hour via httpstcotywnbqe0co twtr httpstcoa7w3lrjlsm,2022-05-01,,topstonks,0,0,0,0,en,"['see', 'uptick', 'chatter', 'wallstreetbet', 'last', '24', 'hour', 'via', 'httpstcotywnbqe0co', 'twtr', 'httpstcoa7w3lrjlsm']"
10,tri tweet curs word frequent warn even 12hour time out liter noth,2022-05-01,United States,Twitter for Android,0,0,0,0,en,"['tri', 'tweet', 'curs', 'word', 'frequent', 'warn', 'even', '12hour', 'time', 'out', 'liter', 'noth']"
11,tri tweet curs word frequent warn even 12hour time out lit httpstcoud6ji7pmf2,2022-05-01,United States,Twitter for Android,0,0,0,1,en,"['tri', 'tweet', 'curs', 'word', 'frequent', 'warn', 'even', '12hour', 'time', 'out', 'lit', 'httpstcoud6ji7pmf2']"
12,market trader use weekend head httpstcovgghrshwmt channel actual profe httpstcoq7lwljtvyj,2022-05-01,,Twitter Web App,4,0,0,2,en,"['market', 'trader', 'use', 'weekend', 'head', 'httpstcovgghrshwmt', 'channel', 'actual', 'profe', 'httpstcoq7lwljtvyj']"
14,banana soap soap hand made soap flipper dolphin watermelon lemonad goat milk alo vera httpstcoumhbi54xkj,2022-05-01,USA,Twitter Web App,1,0,0,0,en,"['banana', 'soap', 'soap', 'hand', 'made', 'soap', 'flipper', 'dolphin', 'watermelon', 'lemonad', 'goat', 'milk', 'alo', 'vera', 'httpstcoumhbi54xkj']"
15,actual touch predict crypto httpstcomdabmcg5a0,2022-05-01,Port Harcourt,Twitter for Android,0,0,1,0,en,"['actual', 'touch', 'predict', 'crypto', 'httpstcomdabmcg5a0']"
16,one hold also crypto,2022-05-01,"Homestead, FL",Twitter for iPhone,2,0,0,0,en,"['one', 'hold', 'also', 'crypto']"
17,8th mention wallstreetbet last 7 day via httpstcotywnbqe0co twtr httpstcoauxnj2rnkz,2022-05-01,,topstonks,0,0,0,0,en,"['8th', 'mention', 'wallstreetbet', 'last', '7', 'day', 'via', 'httpstcotywnbqe0co', 'twtr', 'httpstcoauxnj2rnkz']"
18,love fact ceo place,2022-05-01,Judean Desert,Twitter for Android,0,0,0,0,en,"['love', 'fact', 'ceo', 'place']"
19,could bought 15 richest footbal club instead x httpstcoh3eeuydej,2022-05-01,"Tokyo
",Twitter Web App,0,0,0,0,en,"['could', 'bought', '15', 'richest', 'footbal', 'club', 'instead', 'x', 'httpstcoh3eeuydej']"
20,not give blue badg com,2022-05-01,,Twitter for iPhone,0,0,1,0,en,"['not', 'give', 'blue', 'badg', 'com']"
21,thank giveaway make good daygod bless alway stay healthi saitama shib impact,2022-05-01,,Twitter Web App,0,0,0,0,en,"['thank', 'giveaway', 'make', 'good', 'daygod', 'bless', 'alway', 'stay', 'healthi', 'saitama', 'shib', 'impact']"
22,predict tomorrow predict price 485 20220502 current price 4902 predict decrea httpstcon5kd9wkpu0,2022-05-01,Github,StockTRXK,3,0,0,1,en,"['predict', 'tomorrow', 'predict', 'price', '485', '20220502', 'current', 'price', '4902', 'predict', 'decrea', 'httpstcon5kd9wkpu0']"
23,get sanction melt collater bank raid httpstcobgq4wyry4i,2022-05-01,,Twitter for Android,1,0,0,0,en,"['get', 'sanction', 'melt', 'collater', 'bank', 'raid', 'httpstcobgq4wyry4i']"
26,8th mention wallstreetbet last 7 day via httpstcotywnbqe0co twtr httpstco0z74joik9n,2022-05-01,,topstonks,0,0,0,0,en,"['8th', 'mention', 'wallstreetbet', 'last', '7', 'day', 'via', 'httpstcotywnbqe0co', 'twtr', 'httpstco0z74joik9n']"
31,predict tomorrow predict price 4862 20220502 current price 4902 predict decr httpstcouka6b3zn5l,2022-05-01,Github,StockTRXK,1,0,0,0,en,"['predict', 'tomorrow', 'predict', 'price', '4862', '20220502', 'current', 'price', '4902', 'predict', 'decr', 'httpstcouka6b3zn5l']"
