,text,time,location,source,like_count,quote_count,reply_count,retweet_count,lang,split_text
0,mention last day via,2022-05-01,,topstonks,0,0,0,0,en,mention last day via
1,new investor tri understand stock market,2022-05-01,"St Paul, MN",Twitter for iPhone,0,0,0,0,en,new investor tri understand stock market
3,post social media platform see,2022-05-01,California,Twitter Web App,0,0,0,0,en,post social media platform see
4,els go long,2022-05-01,,Twitter for Android,0,0,0,0,en,els go long
5,predict tomorrow predict price current price predict,2022-05-01,,Twitter for iPhone,0,0,0,0,en,predict tomorrow predict price current price predict
9,see chatter last hour via,2022-05-01,,topstonks,0,0,0,0,en,see chatter last hour via
10,tri tweet word frequent warn even time out liter,2022-05-01,United States,Twitter for Android,0,0,0,0,en,tri tweet word frequent warn even time out liter
11,tri tweet word frequent warn even time out lit,2022-05-01,United States,Twitter for Android,0,0,0,1,en,tri tweet word frequent warn even time out lit
12,market trader use weekend head channel actual,2022-05-01,,Twitter Web App,4,0,0,2,en,market trader use weekend head channel actual
14,banana soap soap hand made soap flipper dolphin watermelon goat milk alo vera,2022-05-01,USA,Twitter Web App,1,0,0,0,en,banana soap soap hand made soap flipper dolphin watermelon goat milk alo vera
15,actual touch predict,2022-05-01,Port Harcourt,Twitter for Android,0,0,1,0,en,actual touch predict
16,one hold also,2022-05-01,"Homestead, FL",Twitter for iPhone,2,0,0,0,en,one hold also
17,mention last day via,2022-05-01,,topstonks,0,0,0,0,en,mention last day via
18,love fact place,2022-05-01,Judean Desert,Twitter for Android,0,0,0,0,en,love fact place
19,could bought club instead x,2022-05-01,"Tokyo
",Twitter Web App,0,0,0,0,en,could bought club instead x
20,not give blue,2022-05-01,,Twitter for iPhone,0,0,1,0,en,not give blue
21,thank giveaway make good bless alway stay impact,2022-05-01,,Twitter Web App,0,0,0,0,en,thank giveaway make good bless alway stay impact
22,predict tomorrow predict price current price predict,2022-05-01,Github,StockTRXK,3,0,0,1,en,predict tomorrow predict price current price predict
23,get sanction melt bank raid,2022-05-01,,Twitter for Android,1,0,0,0,en,get sanction melt bank raid
26,mention last day via,2022-05-01,,topstonks,0,0,0,0,en,mention last day via
31,predict tomorrow predict price current price predict,2022-05-01,Github,StockTRXK,1,0,0,0,en,predict tomorrow predict price current price predict
32,give soap hand made soap munch scream watermelon goat milk alo vera,2022-05-01,USA,Twitter Web App,2,1,0,0,en,give soap hand made soap munch scream watermelon goat milk alo vera
33,ye said soap hand made soap munch scream watermelon goat milk alo,2022-05-01,USA,Twitter Web App,3,1,1,0,en,ye said soap hand made soap munch scream watermelon goat milk alo
35,pass soap soap hand made soap munch scream watermelon goat milk alo vera,2022-05-01,USA,Twitter Web App,1,1,1,0,en,pass soap soap hand made soap munch scream watermelon goat milk alo vera
36,trust media add journalist trust dont trust comment vote,2022-05-01,"Kentucky, USA",Twitter for iPhone,0,0,0,0,en,trust media add journalist trust dont trust comment vote
37,soap hand made soap munch scream watermelon goat milk alo vera,2022-05-01,USA,Twitter Web App,4,0,1,0,en,soap hand made soap munch scream watermelon goat milk alo vera
40,hand made soap munch scream watermelon goat milk alo vera agua get,2022-05-01,USA,Twitter Web App,0,0,0,0,en,hand made soap munch scream watermelon goat milk alo vera agua get
42,short term gain close within year time ar,2022-05-02,,Twitter for Android,0,0,1,0,en,short term gain close within year time ar
43,shock ye organ make switch soap hand made soap flipper dolphin watermelon goat milk,2022-05-02,USA,Twitter Web App,0,0,0,0,en,shock ye organ make switch soap hand made soap flipper dolphin watermelon goat milk
44,market trader use weekend head channel actual,2022-05-02,Costa Rica,Twitter Web App,0,0,0,0,en,market trader use weekend head channel actual
45,feed ai data real time use trove,2022-05-02,,Twitter for Android,0,0,0,0,en,feed ai data real time use trove
46,organ soap make switch soap hand made soap flipper dolphin watermelon,2022-05-02,USA,Twitter Web App,0,0,0,0,en,organ soap make switch soap hand made soap flipper dolphin watermelon
47,wing make switch soap hand made soap flipper dolphin watermelon goat milk alo vera,2022-05-02,,Twitter for iPhone,0,0,0,0,en,wing make switch soap hand made soap flipper dolphin watermelon goat milk alo vera
48,wing make switch soap hand made soap flipper dolphin watermelon goat milk alo v,2022-05-02,USA,Twitter Web App,1,1,0,1,en,wing make switch soap hand made soap flipper dolphin watermelon goat milk alo v
50,,2022-05-02,"Tuna, Puerto Rico",Twitter for Android,0,0,0,0,en,
51,day earn,2022-05-02,$AMC ,Twitter for iPhone,3,0,0,0,en,day earn
53,connect not control not,2022-05-02,,Twitter Web App,0,0,0,0,en,connect not control not
54,sir seen chart see huge cup start form n,2022-05-02,Alemania,Twitter for iPhone,0,0,0,0,en,sir seen chart see huge cup start form n
55,may earn,2022-05-02,"Toronto, Canada",Investor Feed,0,0,0,0,en,may earn
56,form huge cup start form back,2022-05-02,Alemania,Twitter for iPhone,1,0,0,0,en,form huge cup start form back
57,swing,2022-05-02,,Twitter for iPhone,0,0,0,0,en,swing
58,trade not trade terror,2022-05-02,upstate NY,Twitter for iPhone,0,0,0,0,en,trade not trade terror
60,time stock reach low trade say ba da baba stock tell,2022-05-02,upstate NY,Twitter for iPhone,1,0,0,0,en,time stock reach low trade say ba da baba stock tell
